family,n_features,accuracy_mean,accuracy_std,delta
BASELINE_ALL,68,0.737673241110293,0.005806762895428292,0.0
DROP_f1_alphabet,60,0.7407253845855776,0.006481640195000022,0.0030521434752845966
DROP_f2_modular,59,0.7422508105036101,0.008162085405066556,0.004577569393317105
DROP_f3_letter_freq,65,0.7381821469627103,0.004105711706952937,0.0005089058524173629
DROP_f4_bigram,66,0.7407292595032355,0.009166470609279744,0.003056018392942561
DROP_f5_phonetic,58,0.737673241110293,0.01030445645782667,0.0
DROP_f6_shape,60,0.7397049896023042,0.006552282959252006,0.002031748492011265
DROP_f7_length,66,0.7366683457976517,0.012738212776265821,-0.0010048953126412519
DROP_f8_attractor,66,0.7407279678640163,0.011794632652066154,0.0030547267537233136
DROP_f9_spectral,60,0.728014363028119,0.006123087071648778,-0.009658878082174027
DROP_f10_compression,65,0.7402216452900376,0.012425398502420616,0.0025484041797446677
DROP_f11_numeric,64,0.7407266762247968,0.006225665664393497,0.003053435114503844
DROP_f12_symmetry,59,0.7371630436186565,0.01097713130374957,-0.0005101974916364993
