family,n_features,accuracy_mean,accuracy_std,f1_mean
f9_spectral,8,0.7346198059957894,0.019408092427804006,0.8309933072765141
f3_letter_freq,3,0.7153033414706604,0.016471743786308054,0.81659908443916
f1_alphabet,8,0.7132819260924039,0.014691354539194403,0.8199087846665778
f6_shape,8,0.711243719404296,0.014710152724875419,0.8195777402354933
f8_attractor,2,0.7097105436509474,0.009400711381253193,0.813913813685159
f12_symmetry,9,0.7097027938156314,0.013452217777397085,0.8141699494402367
f2_modular,9,0.7071673060280802,0.009041181513001663,0.8183712579053098
f5_phonetic,10,0.7056380051923897,0.009155372219019325,0.8143610713364909
f11_numeric,4,0.700046499011896,0.004811312921599142,0.8122105105906681
f7_length,2,0.6583614264863538,0.019770268871424655,0.7766027671763686
f10_compression,3,0.6578486457162785,0.018480087494598504,0.7744817549822087
f4_bigram,2,0.655823355420364,0.016403704176796263,0.7734376753783841
