feature,r,p,abs_r,significant_bonf,significant_uncorr
vowel_ratio,0.04870931223744004,9.002243857803815e-09,0.04870931223744004,True,True
consonant_ratio,-0.04870931223744004,9.002243857803815e-09,0.04870931223744004,True,True
plosive_count,-0.040967401934686405,1.3380829330628134e-06,0.040967401934686405,True,True
phon_vowel_ratio,0.034436183066314664,4.847715154292845e-05,0.034436183066314664,True,True
fricative_count,-0.031414021761196266,0.00021047113794654112,0.031414021761196266,True,True
alpha_sum,-0.030839393793736986,0.00027446497357583804,0.030839393793736986,True,True
dft_power_k1,-0.03068666720251881,0.00029431449523813175,0.03068666720251881,True,True
plosive_ratio,-0.028936189699796604,0.0006409835718404059,0.028936189699796604,True,True
autocorr_lag1,-0.027522095304594357,0.0011672507457849617,0.027522095304594357,False,True
gzip_size,-0.026515163421409152,0.0017603943288932325,0.026515163421409152,False,True
word_length,-0.026045381372053464,0.00212276434168484,0.026045381372053464,False,True
trigram_count,-0.026045381372053464,0.00212276434168484,0.026045381372053464,False,True
n_runs,-0.02565402864107059,0.002475548247690782,0.02565402864107059,False,True
last_letter_lp,0.025523110000456234,0.0026050442566165604,0.025523110000456234,False,True
letter_freq_mean,0.02534459410725774,0.0027916051624202625,0.02534459410725774,False,True
dft_total_power,-0.025223226842699224,0.002925324834591032,0.025223226842699224,False,True
log_word_length,-0.02462581600710346,0.003672740314343682,0.02462581600710346,False,True
run_length_entropy,-0.024505919767229545,0.003842205790972035,0.024505919767229545,False,True
gzip_size_per_char,0.022753065390618218,0.007274629285237633,0.022753065390618218,False,True
gzip_ratio_vs_random,0.02275306539061821,0.007274629285237633,0.02275306539061821,False,True
dft_spectral_entropy,-0.0216761517905686,0.010559805384851791,0.0216761517905686,False,True
symmetry_density,0.019509246428138872,0.021376006247646042,0.019509246428138872,False,True
phon_back_ratio,0.019352038119931393,0.022446335704771468,0.019352038119931393,False,True
alpha_mean,-0.01743116136022019,0.039771936460255924,0.01743116136022019,False,True
letter_position_skew,-0.017431161360220188,0.039771936460255924,0.017431161360220188,False,True
is_prime_sum,-0.01550224755768334,0.06746647879601732,0.01550224755768334,False,False
phon_n,-0.01544071383745853,0.06856205953583813,0.01544071383745853,False,False
alpha_sum_parity,-0.015152230886816177,0.07389497461788211,0.015152230886816177,False,False
prefix_eq_suffix,0.015092223986455048,0.07504581161029383,0.015092223986455048,False,False
letter_freq_sum,-0.01450762347842664,0.08704031736753812,0.01450762347842664,False,False
is_palindrome,0.013931952710372644,0.10031838024002002,0.013931952710372644,False,False
mispar_hechrechi_sum,-0.012788064464729947,0.131458374993565,0.012788064464729947,False,False
phon_voice_ratio,0.012490199716428393,0.14068651549251326,0.012490199716428393,False,False
word_value_mod_26,-0.011799633545380356,0.1639890023670555,0.011799633545380356,False,False
phon_plosive_ratio,-0.011796191999163656,0.16411200749525945,0.011796191999163656,False,False
sum_mod5,-0.011728352747670298,0.16655087603625407,0.011728352747670298,False,False
sum_mod4,-0.0102747981810787,0.22554536578069448,0.0102747981810787,False,False
digital_root,-0.010039823276568906,0.23633505001507507,0.010039823276568906,False,False
phon_front_ratio,0.00888406076594217,0.2946988801161115,0.00888406076594217,False,False
dft_power_k3,-0.008371975886730552,0.32341378823798594,0.008371975886730552,False,False
dft_high_freq_ratio,0.008273096879574171,0.3291616827264652,0.008273096879574171,False,False
sum_mod11,0.008185324413132283,0.3343190623037022,0.008185324413132283,False,False
bigram_unique_ratio,-0.007646864145359389,0.3670897829341328,0.007646864145359389,False,False
alpha_max,-0.0070124439552331705,0.40817638860434763,0.0070124439552331705,False,False
sum_mod7,-0.006877720541721406,0.417241495411249,0.006877720541721406,False,False
autocorr_lag2,0.006814546750551327,0.42153280652997743,0.006814546750551327,False,False
alphabet_centeredness,-0.006580999594030322,0.43762045175182956,0.006580999594030322,False,False
alpha_range,-0.005861404328461868,0.4893511942906948,0.005861404328461868,False,False
mod26_cyclic_cos,0.005501969089933667,0.5163734221945956,0.005501969089933667,False,False
phon_fricative_ratio,-0.005341205782494343,0.5287051772749438,0.005341205782494343,False,False
mean_run_length,0.005044071923264681,0.5518855525651176,0.005044071923264681,False,False
phon_high_ratio,-0.004190718756948018,0.6211049398431246,0.004190718756948018,False,False
letter_product_mod26,-0.003534427767982342,0.6767687200026786,0.003534427767982342,False,False
mod26_cyclic_sin,0.0034621713617575883,0.6830137809355414,0.0034621713617575883,False,False
distinct_letter_ratio,-0.003040285405758839,0.7198992561489675,0.003040285405758839,False,False
dft_power_k2,-0.002520395739034384,0.7662576017334216,0.002520395739034384,False,False
phon_voiceless_ratio,0.0023117222843188254,0.7851137216253626,0.0023117222843188254,False,False
rare_letter_count,0.0021044603271292654,0.8039679811149395,0.0021044603271292654,False,False
first_letter_lp,-0.0020391515372069134,0.8099332830473611,0.0020391515372069134,False,False
sum_mod3,0.002015465473721433,0.812099517723734,0.002015465473721433,False,False
alpha_sum_mod26,0.0014347580016382984,0.865619256632892,0.0014347580016382984,False,False
max_run_length,-0.001018274876168812,0.9044019358555475,0.001018274876168812,False,False
liquid_count,0.0009453531020421867,0.9112185904910566,0.0009453531020421867,False,False
nasal_count,0.0009271642134366116,0.9129199080913865,0.0009271642134366116,False,False
word_value_mod_9,0.00042937396094687875,0.9596096930248257,0.00042937396094687875,False,False
phon_low_ratio,0.00042247969401731824,0.9602576813193079,0.00042247969401731824,False,False
alpha_min,0.00040802005587371997,0.9616168193927638,0.00040802005587371997,False,False
alpha_sum_mod9,0.00012398441512426108,0.9883324770914398,0.00012398441512426108,False,False
